                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.40793,                0.72668,                0.25619,                0.92466,                0.77404,                0.85581,                0.64127,                0.37922,                0.61353,                0.24407,              0.0014852,              0.0014852,              0.0014852
                    133,                0.39224,                0.72434,                0.25259,                0.89878,                0.78833,                0.84993,                0.63542,                0.37897,                0.59525,                0.24311,              0.0014812,              0.0014812,              0.0014812
                    134,                0.39584,                0.72202,                 0.2517,                0.91449,                0.78476,                0.85282,                0.63958,                0.37505,                0.58902,                0.24355,              0.0014773,              0.0014773,              0.0014773
                    135,                0.40454,                0.73993,                0.25164,                 0.9278,                0.77044,                0.85436,                0.63939,                0.38028,                0.59521,                0.24376,              0.0014733,              0.0014733,              0.0014733
                    136,                0.39966,                0.71314,                0.25327,                0.89709,                0.77934,                0.85459,                  0.638,                 0.3815,                0.60928,                0.24588,              0.0014694,              0.0014694,              0.0014694
                    137,                0.40603,                0.73482,                0.25555,                0.91841,                0.78754,                0.86318,                0.64745,                0.36874,                0.59292,                0.24312,              0.0014654,              0.0014654,              0.0014654
                    138,                0.39504,                0.72554,                0.24983,                0.92475,                0.78326,                0.85573,                 0.6431,                0.37286,                0.58547,                 0.2425,              0.0014614,              0.0014614,              0.0014614
                    139,                0.40364,                0.72178,                0.25397,                0.91216,                0.79382,                0.86395,                0.65249,                0.36699,                0.57427,                0.24218,              0.0014575,              0.0014575,              0.0014575
                    140,                  0.393,                0.69801,                0.25261,                0.92747,                0.78957,                0.85621,                0.64462,                0.36341,                0.57909,                0.24169,              0.0014535,              0.0014535,              0.0014535
                    141,                0.39194,                0.70843,                0.25004,                0.92316,                0.78099,                0.85316,                0.64012,                0.36816,                0.57555,                0.24165,              0.0014496,              0.0014496,              0.0014496
                    142,                0.38682,                0.70441,                0.25047,                0.92505,                 0.7897,                 0.8565,                0.65121,                0.36553,                  0.575,                0.24176,              0.0014456,              0.0014456,              0.0014456
                    143,                0.39013,                0.72836,                0.25152,                0.91028,                 0.7943,                0.86147,                0.64907,                0.36911,                0.57296,                0.24304,              0.0014416,              0.0014416,              0.0014416
                    144,                0.37782,                0.68451,                0.24891,                0.91547,                0.79505,                0.86174,                0.65187,                0.36814,                0.57104,                0.24307,              0.0014377,              0.0014377,              0.0014377
                    145,                 0.3908,                0.71525,                0.24931,                0.90854,                0.81025,                0.86408,                0.65503,                0.36937,                0.57315,                0.24269,              0.0014337,              0.0014337,              0.0014337
                    146,                0.39921,                0.71562,                0.25365,                0.94487,                0.79136,                0.87464,                0.65556,                0.36572,                0.55613,                0.24406,              0.0014298,              0.0014298,              0.0014298
                    147,                0.39464,                0.71823,                0.24995,                0.94169,                0.79654,                0.86987,                0.65617,                0.36431,                0.57688,                0.24296,              0.0014258,              0.0014258,              0.0014258
                    148,                0.38567,                0.70932,                0.25177,                 0.9089,                0.81438,                0.87495,                 0.6594,                0.36311,                0.56519,                0.24216,              0.0014218,              0.0014218,              0.0014218
                    149,                0.38993,                0.69024,                0.24859,                0.92679,                 0.8057,                0.87477,                0.66173,                0.36263,                0.56913,                0.24097,              0.0014179,              0.0014179,              0.0014179
                    150,                0.38343,                0.69101,                0.24972,                0.91432,                0.80943,                0.87168,                0.65508,                0.35984,                0.56778,                  0.241,              0.0014139,              0.0014139,              0.0014139
                    151,                0.37705,                0.68404,                0.24673,                0.93458,                0.78675,                0.86502,                0.66828,                0.35122,                 0.5462,                0.23784,                0.00141,                0.00141,                0.00141
                    152,                0.38126,                  0.678,                0.24735,                0.94008,                0.79092,                0.86641,                0.66071,                0.35544,                0.54994,                0.23937,               0.001406,               0.001406,               0.001406
                    153,                0.37926,                0.68706,                0.24865,                0.93296,                0.79479,                0.86955,                0.66232,                0.35788,                 0.5604,                0.24091,               0.001402,               0.001402,               0.001402
                    154,                0.38827,                0.71605,                0.24993,                0.92695,                0.80628,                0.87276,                0.66088,                0.36053,                0.55677,                0.24281,              0.0013981,              0.0013981,              0.0013981
                    155,                0.37782,                0.69814,                0.24817,                 0.9404,                0.77385,                0.86804,                0.65706,                0.36416,                0.55468,                0.24295,              0.0013941,              0.0013941,              0.0013941
